Title,Link,Score,Image Link,Genres
,https://myanimelist.net/manga/44227/Monogatari_Series__Final_Season,8.83,https://cdn.myanimelist.net/r/50x70/images/manga/1/181554.webp?s=61d1c4963e107a758e54152888eafcaf,"Comedy, Mystery, Supernatural"
,https://myanimelist.net/manga/21525/Akatsuki_no_Yona,8.82,https://cdn.myanimelist.net/r/50x70/images/manga/2/269202.webp?s=8a0ba4069810d6e06cd1062fb7107515,"Adventure, Fantasy, Romance"
,https://myanimelist.net/manga/9115/Ookami_to_Koushinryou,8.82,https://cdn.myanimelist.net/r/50x70/images/manga/2/153860.webp?s=d12ecb926bbca0c098fba138eb850b1e,"Adventure, Drama, Fantasy, Romance, Supernatural"
,https://myanimelist.net/manga/89357/Youkoso_Jitsuryoku_Shijou_Shugi_no_Kyoushitsu_e,8.82,https://cdn.myanimelist.net/r/50x70/images/manga/2/177958.webp?s=7b5d7aefa65d3c8ec0936946ae7eeb9d,
,https://myanimelist.net/manga/104039/86,8.82,https://cdn.myanimelist.net/r/50x70/images/manga/3/194315.webp?s=a8ec9905c0c4888f9be25f2771a44afe,"Action, Drama, Sci-Fi"
,https://myanimelist.net/manga/126287/Sousou_no_Frieren,8.82,https://cdn.myanimelist.net/r/50x70/images/manga/3/232121.webp?s=2eea87b69cd48bf7e743703d4dee1881,"Adventure, Award Winning, Drama, Fantasy"
,https://myanimelist.net/manga/70261/Mushoku_Tensei__Isekai_Ittara_Honki_Dasu,8.82,https://cdn.myanimelist.net/r/50x70/images/manga/3/120337.webp?s=cf143bcee80a89fc94aad3443afb8b89,
,https://myanimelist.net/manga/651/Kaze_no_Tani_no_Nausica%C3%A4,8.81,https://cdn.myanimelist.net/r/50x70/images/manga/3/259856.webp?s=f9af8dc98c2d36521ddd7ff2200da97a,"Action, Adventure, Award Winning, Fantasy, Supernatural"
,https://myanimelist.net/manga/28/Nana,8.80,https://cdn.myanimelist.net/r/50x70/images/manga/1/262324.webp?s=26c43dd3f125f08aaaa91cdaaa68688e,"Award Winning, Drama, Romance"
,https://myanimelist.net/manga/7375/Kokou_no_Hito,8.80,https://cdn.myanimelist.net/r/50x70/images/manga/5/96223.webp?s=871b5b08fb37c20b5506c49a2cd7110b,"Award Winning, Drama, Sports"
